Date,SP500_simple,SP500_log,vol_21d,vol_63d,vol_252d,mean_ret_21d,mean_ret_63d,rolling_sharpe_63d,drawdown,XLK_log,XLF_log,XLE_log,XLV_log,XLI_log,XLY_log,XLP_log,XLU_log,XLB_log,XLRE_log,XLC_log
2015-01-05,-0.018278105145113743,-0.01844721353258727,,,,,,,0.0,-0.015383232956252598,-0.021251381162665187,-0.04224790071983997,-0.005112942398686734,-0.023635733060390227,-0.019311053400096555,-0.007056613347864005,-0.012301431260709591,-0.025818491575621903,,
2015-01-06,-0.008893471722946522,-0.00893325469070017,,,,,,,-0.008893471722946508,-0.01213008309735209,-0.015401004226710233,-0.014799517087905133,-0.0033742568545233227,-0.012397732826619828,-0.010013159665821381,-0.0012505964952992947,0.000640084346972074,-0.008898034040320971,,
2015-01-07,0.01162984267174294,0.011562735844876304,,,,,,,0.0,0.008432201734550225,0.010432111847555086,0.0021277864548964395,0.023239680657024288,0.007493525163229162,0.015690006638230718,0.01695656190524903,0.009762277284591335,0.011215619250250946,,
2015-01-08,0.017888280629516196,0.017730168127155693,,,,,,,0.0,0.021742479981450322,0.01483309674745496,0.022201243035825092,0.016941626950635,0.019831033064629775,0.014889724639012713,0.015059438385411083,0.006945425885839272,0.02350090636569194,,
2015-01-09,-0.008403811034715436,-0.008439322147078786,,,,,,,-0.008403811034715436,-0.0031460122190707465,-0.013588782359869397,-0.007957126916236072,-0.008933089782826966,-0.010768069625130718,-0.011639988875669154,-0.008111780779502508,-0.006311731989914586,-0.005151678064444819,,
2015-01-12,-0.008093685160912578,-0.008126616843470486,,,,,,,-0.016429478394961252,-0.01170510717191175,-0.00832636049276724,-0.029233943601925372,0.0004271156492131883,-0.0068802139233487955,-0.005374150834916243,-0.003059225355853561,-0.0023241962237597457,-0.002275795133085043,,
2015-01-13,-0.0025785552362955766,-0.0025818854358163217,,,,,,,-0.018965669313711853,-0.0007357644364958709,-0.0033500657423733626,-0.007987705922891416,-0.0044232031365679875,-0.002000827331970733,0.0,-0.00020431652072036498,0.0027461660682552447,-0.01124523372676511,,
2015-01-14,-0.005813067327385291,-0.00583002896797565,,,,,,,-0.024668487928467573,-0.005661747355705155,-0.014364560828660628,0.003121648669050123,-0.0015740667289886674,-0.005476212555545451,-0.012129208371800825,-0.003069240937331935,0.008612575993731808,-0.01179702987186374,,
2015-01-15,-0.009247875921837956,-0.009290903004567546,,,,,,,-0.033688232734763734,-0.012919241786501693,-0.01241692851083274,-0.01281894128482547,-0.010800241407372953,-0.004770893566571388,-0.013003652898113434,0.0016380656466082808,0.007916722166807826,-0.001908919858974999,,
2015-01-16,0.013424199395820402,0.013334893186267299,,,,,,,-0.020716270892467647,0.009705125979944948,0.011991470603653003,0.0320102655202991,0.0186467622237066,0.006599546643297001,0.013147531123204274,0.007947329848616545,0.008883362032487453,0.01579815219675044,,
2015-01-20,0.0015499523698385698,0.001548752433400387,,,,,,,-0.019198427755793085,0.008384696300892119,-0.004266485229057296,0.0011955442500483644,0.0,0.007100515811667586,-0.005757746263434173,0.004050944666979405,0.0024651785643390847,0.001670077373543448,,
2015-01-21,0.004731623968765364,0.004720465022189361,,,,,,,-0.014557643527959603,0.0017179228929875908,0.0025621613777456463,0.020109650201853742,0.0019871884483943945,0.008131160151370961,0.006475216577889079,0.004839778054835214,0.009596615394190253,0.009758749020394806,,
2015-01-22,0.015269721916580492,0.015154313070630327,,,,,,,0.0,0.016292067274598667,0.024432085555196322,0.004673616894889333,0.011843097152245283,0.015888834608978813,0.018614981571943665,0.0100077315166125,-0.0042763384957761425,0.012524195289196932,,
2015-01-23,-0.005491522439307173,-0.005506656279301935,,,,,,,-0.0054915224393072,-0.00024149844230132028,-0.010878445209093287,-0.007148792060671356,-0.005762940084270734,-0.00835924878066288,-0.0014082326795413563,-0.011215740795111808,0.0028532206518073044,-0.015628603879343703,,
2015-01-26,0.002568460857030219,0.0025651679986232745,,,,,,,-0.0029371663427077946,-0.004109993250770249,0.005035800568376038,0.014247299567687778,0.0052023391233858044,0.0012495344598055114,0.005202389828118595,0.0,-0.0006104325246647113,0.0043433207331478796,,
2015-01-27,-0.013387862410411011,-0.013478287815857576,,,,,,,-0.016285706374246117,-0.02925103394554309,-0.010942908130773268,-0.0006432823845677698,-0.007177793944813365,-0.013288397778213331,-0.008026589177549845,-0.011546422945092881,0.0014238747772477112,-0.00683328868811349,,
2015-01-28,-0.013495609366348305,-0.01358750281102202,,,,,,,-0.029561530209112497,-0.0017476197454577068,-0.018364641791617148,-0.04017373305961828,-0.014511234940941071,-0.008714607264654466,-0.013092411128205488,-0.011682043785904152,-0.008577191382036234,-0.01824147070231816,,
2015-01-29,0.009534685287099887,0.00948951705826357,,,,,,,-0.02030870480916156,0.009450975834035202,0.008155947630165614,0.003343500658377603,0.008419344245999577,0.011422478498940753,0.01351611347440237,0.008007494643301503,0.013243156390937478,0.01303388888024925,,
2015-01-30,-0.012991965252009852,-0.013077099006318498,,,,,,,-0.033036820073977444,-0.012453894736577428,-0.01638003274493429,0.008640812675485866,-0.015755427954173708,-0.016358149309566423,-0.010941066112448876,-0.018159981853715788,-0.02230740868989395,-0.003976315860614038,,
2015-02-02,0.01296246371066978,0.012879170000215516,,,,,,,-0.020502594944632493,0.010223752168721652,0.015952697458954095,0.030117569220793804,0.00561439053004783,0.014734357175521096,0.008960681208836018,0.011800019896598155,0.004336727387947242,0.008976169900500947,,
2015-02-03,0.014439495293299576,0.014336238577453099,0.18097807504803892,,,-0.04772819058745712,,,-0.00635914677453638,0.011346253248172395,0.016543137009828807,0.02698941471555114,0.006724475952051785,0.01612089051303634,0.021017859178798923,0.008811195998501496,0.0037022201028297556,0.02178926717716355,,
2015-02-04,-0.0041560462088314765,-0.0041647065724529616,0.16920285354367887,,,0.12366189293415458,,,-0.010488764075524095,0.001960283958483343,-0.0025270142199532173,-0.01663988418259469,-0.012627445110482537,-0.007669618427894146,0.006633567638286503,0.00040790304577096584,-0.012186701270148986,-0.006528092006689579,,
2015-02-05,0.010291406686777416,0.010238810710909235,0.16878198953225235,,,0.35372667775346744,,,-0.00030530152548965993,0.009259624943636207,0.010071176649028112,0.014261467163375835,0.016753951405890092,0.008557349656174528,0.006179308950451554,0.005084850945884296,0.009101981437552972,0.02386375989465231,,
2015-02-06,-0.0034181723141418763,-0.00342402761187852,0.1653658413011797,,,0.17388551627240956,,,-0.003722430266409598,-0.00315800443608117,0.007901849728485793,0.0002510099182183701,-0.009129289069332887,-0.002310489449749593,-0.001506614841146189,-0.004473570181517055,-0.0420578897804504,-0.0024008862064200825,,
2015-02-09,-0.004247194360987749,-0.004256239310481708,0.15396579667129545,,,-0.08995137297923926,,,-0.007953814742560718,-0.001461196553374944,-0.004983397917906065,0.0010017752346984654,-0.011821298941099257,-0.002672484541210598,-0.0038460933349473083,-0.007568468532244982,-0.008844941761683602,-0.0012029437681362928,,
2015-02-10,0.010675561019232394,0.010618979554062366,0.15550684367430323,,,0.13874824743445457,,,0.0,0.014754340554822184,0.007879092228104517,-0.0005008365219116074,0.01668157223672541,0.005515565776178111,0.012174105521888502,0.011636309325103159,0.02037578505741171,0.007393570848441786,,
2015-02-11,-2.903358867545336e-05,-2.9034010158247172e-05,0.15231075485030904,,,0.23591924143420145,,,-2.903358867544573e-05,0.003834448235756365,0.0,-0.007036979444707816,0.000998120684754348,0.00035493124955500346,0.0002720500739202274,0.004657329307687595,-0.02189392948878614,-0.001594115855660003,,
2015-02-12,0.009644506431775834,0.009598295065916026,0.15459304117932912,,,0.38208140745498964,,,0.0,0.013540513635145099,0.009864204368299772,0.013029860605278984,0.0035552009513336413,0.009356419110012094,0.011755859499514812,0.004635635695275782,-0.0045678331617881405,0.01700319935559127,,
2015-02-13,0.004074738491730789,0.004066459227779422,0.15245395379056026,,,0.5008392658040506,,,0.0,0.006350846297259479,-0.0008182514637192687,0.02093863349280514,0.003966822381718868,0.004558280807933124,0.006026797501277885,-0.0046356356952757345,-0.015377837146176621,0.008394584518434188,,
2015-02-17,0.0015975744623728527,0.0015962996977983961,0.14686823809600025,,,0.6314856982324417,,,0.0,0.000468843807639232,0.0032694692896203413,0.003042638382238912,0.007185757369270485,0.0013982275742819574,-0.002271919631990507,0.00020183879049590696,-0.0008858703001245573,0.00116545912997699,,
2015-02-18,-0.0003143092177338991,-0.00031435862322874816,0.14170797385844588,,,0.46769467651848917,,,-0.0003143092177338922,0.0009373344285803281,-0.00613887149052657,-0.011980525469372187,0.001122854203050852,0.005574008720479715,-0.0005356808607971443,0.005438643653574646,0.023432901808711257,0.0027151215165342993,,
